Country,Newspaper,Title,Sentiment,Date,Num_tokens,Positive_count,Negative_count
Algeria,Ech-Chorouk El Yaoumi (French),Un aéroport français -touché par la foudre- annule tous ses vols,0,31/12/2023,344,4,4
Algeria,Ech-Chorouk El Yaoumi (French),Le président Tebboune échange les vœux avec son homologue français,0,31/12/2023,115,0,0
Algeria,Ech-Chorouk El Yaoumi (French),"Darmanin annonce que la France n'acceptera plus de nouveaux ""imams détachés"" à partir du 1ᵉʳ janvier",-0.011331445,30/12/2023,353,0,4
Algeria,Ech-Chorouk El Yaoumi (French),L'ami de la Révolution algérienne docteur Michel Martini est mort,-0.008196721,30/12/2023,366,2,5
Algeria,Ech-Chorouk El Yaoumi (French),France: Une association Anti-corruption perd son agrément,-0.024523161,27/12/2023,367,5,14
Algeria,Ech-Chorouk El Yaoumi (French),"En France, ""les soutiens inconditionnels des criminels de guerre israéliens se protègent entre eux""!",-0.016791045,23/12/2023,536,2,11
Algeria,Ech-Chorouk El Yaoumi (French),Les derniers militaires français ont quitté le Niger,0,23/12/2023,343,2,2
Algeria,Ech-Chorouk El Yaoumi (French),France: 39 députés demandent la levée de l'immunité parlementaire de Meyer Habib,-0.021551724,22/12/2023,232,1,6
Algeria,Ech-Chorouk El Yaoumi (French),Un député franco-israélien appelle au meurtre des civils à Gaza,-0.027568922,21/12/2023,399,2,13
Algeria,Ech-Chorouk El Yaoumi (French),Borne: Pas question de supprimer l'Aide médicale d'État pour les étrangers sans papiers,-0.006993007,20/12/2023,286,1,3
Algeria,Ech-Chorouk El Yaoumi (French),France: changement à la tête de la DGSE,0.019607843,20/12/2023,204,4,0
Algeria,Ech-Chorouk El Yaoumi (French),France: Le ministre de la santé Aurélien Rousseau démissionne après l'adoption de la loi immigration,-0.024169184,20/12/2023,331,4,12
Algeria,Ech-Chorouk El Yaoumi (French),LFI dénonce le refus d'un hommage à l'Assemblée nationale,-0.017241379,20/12/2023,580,1,11
Algeria,Ech-Chorouk El Yaoumi (French),Jack Lang reconduit à la tête de l'Institut du monde arabe,0,20/12/2023,178,0,0
Algeria,Ech-Chorouk El Yaoumi (French),Le président du CNDH reçoit l'ambassadeur de France en Algérie,0,19/12/2023,319,2,2
Algeria,Ech-Chorouk El Yaoumi (French),Un agent du Quai d'Orsay tué dans un bombardement israélien à Rafah,-0.023346304,17/12/2023,257,0,6
Algeria,Ech-Chorouk El Yaoumi (French),"""Les chaînes d'information continue multiplient les manipulations et les discours racistes pour justifier le carnage à Gaza""",-0.009036145,15/12/2023,996,12,21
Algeria,Ech-Chorouk El Yaoumi (French),"Des ambassadeurs français ""regrettent la position de Paris dans le conflit israélo-palestinien""",-0.015228426,13/12/2023,394,1,7
