Week,Return,mean_FEEL,mean_inquirerbasic_fr,mean_Loughran-McDonald,mean_OIL_ECON_FR
1.00,0,0.06097561,-0.012195122,-0.010452962,-0.020905923
2.00,1.94E-05,0.087328683,-0.001330138,-0.005132376,-0.01353515
3.00,-0.000660752,0.085988609,-0.014467212,-0.003945176,-0.01289135
4.00,-0.000649695,0.115447041,-0.014699172,-0.004683043,-0.012526492
5.00,-0.000908114,0.100247837,-0.013949588,-0.003079196,-0.013048507
6.00,-0.00012928,0.110444203,-0.008608778,-0.003117943,-0.016158334
7.00,0.000535159,0.112788306,-0.012139894,-0.001119519,-0.008782517
8.00,-0.000729586,0.101993128,-0.012125953,-0.001059163,-0.012764815
9.00,-0.001607134,0.095144505,-0.015849115,-0.001568268,-0.008694074
10.00,-0.006695503,0.096240367,-0.012278454,-0.00062948,-0.007166285
11.00,0.002000013,0.114606098,-0.013939753,-0.001255361,-0.008145192
12.00,0.003468867,0.131256122,-0.018314736,-0.00417694,-0.009451533
13.00,-0.000626929,0.125475825,-0.007168847,-0.002512865,-0.007073203
14.00,0.001224478,0.116648183,-0.000864906,-0.004272024,-0.011639692
15.00,-0.001276187,0.100132467,-0.011208694,-0.002991548,-0.008251821
16.00,0.000388472,0.108923659,-0.020026762,-0.002544352,-0.011136226
17.00,-7.47E-05,0.120630934,-0.010198581,5.28E-05,-0.008482064
18.00,-0.000450823,0.106329469,-0.00999385,-0.003122212,-0.009208123
19.00,-0.002671902,0.102618945,-0.013834613,-0.003618183,-0.011394222
20.00,0.001025652,0.101618957,-0.012103424,-0.005985229,-0.01490135
21.00,-0.000759745,0.131264436,-0.017085381,-0.000973191,-0.004785283
22.00,0.002234647,0.094262614,-0.014104538,-0.00244916,-0.007212368
23.00,-0.000290622,0.109690828,-0.01474772,-0.000794778,-0.006169116
24.00,-0.002919114,0.100758297,-0.012642465,-0.002931414,-0.008183389
25.00,-0.003131894,0.114473432,-0.016564044,0.001300501,-0.004290681
26.00,0.001979331,0.10321617,-0.011915647,-0.004543697,-0.014033203
27.00,-0.001470856,0.105348248,-0.011390878,0.002354039,-0.005407866
28.00,0.001058622,0.08607065,-0.012095503,0.001973895,-0.006775305
29.00,2.95E-05,0.101172842,-0.014482628,-0.004001078,-0.011495388
30.00,0.001831293,0.095399778,-0.006420562,0.000312949,-0.002527926
31.00,0.00227006,0.099698731,-0.015570684,-0.002885547,-0.011313801
32.00,0.000229042,0.116493686,-0.013052753,-0.005986776,-0.018322463
33.00,0.00077645,0.10304776,-0.002793939,-0.010074246,-0.022825023
34.00,-0.000551785,0.091362977,-0.008384267,-0.001092827,-0.01450382
35.00,-0.002153166,0.122119392,-0.001478354,-0.004981501,-0.013811699
36.00,-0.001064664,0.113045543,-0.014319249,-0.004476128,-0.015161526
37.00,0.00044924,0.134723976,-0.024570443,-0.002312377,-0.009729914
38.00,-0.001363409,0.108142043,-0.007254139,-0.004295936,-0.018192232
39.00,-0.003075238,0.122964219,-0.006268202,-0.001362318,-0.006946423
40.00,-0.000226446,0.122724001,-0.011026769,-0.003068858,-0.007114233
41.00,0.001116111,0.134974781,-0.005714584,-0.004534691,-0.01167222
42.00,0.000683377,0.11371656,-0.008018153,-0.003124396,-0.010874931
